Date,Open,High,Low,Close
2016-04-14,208.289,208.784,207.813,208.278
2016-04-15,208.310,208.322,207.631,208.073
2016-04-18,207.883,209.466,207.365,209.434
2016-04-19,209.605,210.405,209.168,210.080
2016-04-20,210.152,211.105,209.632,210.240
2016-04-21,210.209,210.378,208.852,209.148
2016-04-22,209.149,209.432,208.120,209.158
2016-04-25,208.937,208.937,207.752,208.779
2016-04-26,208.984,209.687,208.580,209.170
2016-04-27,209.233,209.989,208.231,209.515
2016-04-28,209.093,209.930,207.162,207.581
2016-04-29,207.182,207.385,205.228,206.530
2016-05-02,206.717,208.342,206.611,208.143
2016-05-03,207.718,207.718,205.489,206.337
2016-05-04,206.030,206.030,204.555,205.112
2016-05-05,205.295,206.023,204.577,205.063
2016-05-06,204.777,205.772,203.945,205.714
2016-05-09,205.755,206.415,205.431,205.869
2016-05-10,206.263,208.487,206.263,208.439
2016-05-11,208.329,208.329,206.446,206.446
2016-05-12,206.717,207.399,205.313,206.411
2016-05-13,206.250,206.679,204.313,204.661
2016-05-16,204.653,207.188,204.653,206.666
2016-05-17,206.504,206.569,204.082,204.721
2016-05-18,204.438,206.061,203.449,204.763
2016-05-19,204.421,204.421,202.591,204.004
2016-05-20,204.188,205.835,204.188,205.232
2016-05-23,205.223,205.558,204.726,204.804
2016-05-24,205.265,207.967,205.265,207.606
2016-05-25,207.893,209.473,207.893,209.054
2016-05-26,209.144,209.430,208.708,209.010
2016-05-27,209.006,209.906,209.006,209.906
2016-05-31,210.013,210.348,208.866,209.695
2016-06-01,209.394,210.097,208.510,209.933
2016-06-02,209.771,210.526,208.859,210.526
2016-06-03,210.407,210.407,208.536,209.913
2016-06-06,210.083,211.336,210.083,210.941
2016-06-07,211.018,211.922,211.018,211.213
2016-06-08,211.271,212.055,211.271,211.912
2016-06-09,211.565,211.764,210.773,211.548
2016-06-10,210.957,210.957,208.996,209.607
2016-06-13,209.175,209.812,207.846,207.906
2016-06-14,207.665,208.130,206.410,207.532
2016-06-15,207.760,208.565,206.980,207.150
2016-06-16,206.636,207.962,205.037,207.799
2016-06-17,207.820,207.820,206.284,207.122
2016-06-20,207.558,210.066,207.558,208.325
2016-06-21,208.519,209.366,208.302,208.890
2016-06-22,208.975,209.971,208.436,208.545
2016-06-23,209.280,211.332,209.280,211.332
2016-06-24,210.381,210.381,203.257,203.741
2016-06-27,203.145,203.145,199.168,200.054
2016-06-28,200.667,203.609,200.667,203.609
2016-06-29,204.269,207.313,204.269,207.077
2016-06-30,207.317,209.894,207.000,209.886
2016-07-01,209.934,210.871,209.790,210.295
2016-07-05,209.505,209.505,208.086,208.855
2016-07-06,208.443,210.072,207.402,209.973
2016-07-07,210.042,210.908,208.939,209.790
2016-07-08,210.697,213.171,210.697,212.990
2016-07-11,213.172,214.316,213.172,213.716
2016-07-12,213.950,215.540,213.950,215.214
